Date,Pays,Deces,diffDeces0,diffDecesHier,pctgrow,daySince0,moyenne7
2020-02-20,Hong-Kong,2,0,1,-1.0,16.0,-1.0
2020-02-21,Autres,2,0,2,-1.0,1.0,-1.0
2020-02-21,Hong-Kong,2,0,0,,17.0,-1.0
2020-02-22,Autres,2,0,0,,2.0,-1.0
2020-02-22,"Corée du Sud",2,0,1,-1.0,2.0,-0.5
2020-02-22,Hong-Kong,2,0,0,,18.0,-1.0
2020-02-23,Autres,2,1,0,,3.0,-1.0
2020-02-23,"Corée du Sud",2,4,0,,3.0,-0.5
2020-02-23,Hong-Kong,2,0,0,,19.0,-1.0
2020-02-23,Italie,2,1,1,0.0,2.0,0.0
2020-02-24,Autres,3,0,1,-1.0,4.0,-1.0
2020-02-24,"Corée du Sud",6,2,4,-0.5,4.0,-0.5
2020-02-24,Hong-Kong,2,0,0,,20.0,-1.0
2020-02-24,Italie,3,4,1,3.0,3.0,1.0
2020-02-25,Autres,3,0,0,,5.0,-1.0
2020-02-25,"Corée du Sud",8,2,2,0.0,5.0,-0.38
2020-02-25,Hong-Kong,2,0,0,,21.0,-1.0
2020-02-25,Italie,7,3,4,-0.25,4.0,0.69
2020-02-26,Autres,3,1,0,,6.0,-1.0
2020-02-26,"Corée du Sud",10,2,2,0.0,6.0,-0.3
2020-02-26,Hong-Kong,2,0,0,,22.0,-1.0
2020-02-26,Italie,10,2,3,-0.33,5.0,0.48
2020-02-27,Autres,4,0,1,-1.0,7.0,-1.0
2020-02-27,"Corée du Sud",12,1,2,-0.5,7.0,-0.33
2020-02-27,France,2,0,1,-1.0,12.0,-1.0
2020-02-27,Hong-Kong,2,0,0,,23.0,
2020-02-27,Italie,12,5,2,1.5,6.0,0.65
2020-02-27,Japon,2,2,1,1.0,14.0,1.0
2020-02-28,Autres,4,2,0,,8.0,-1.0
2020-02-28,"Corée du Sud",13,0,1,-1.0,8.0,-0.5
2020-02-28,France,2,0,0,,13.0,-1.0
2020-02-28,Hong-Kong,2,0,0,,24.0,
2020-02-28,Italie,17,4,5,-0.2,7.0,0.53
2020-02-28,Japon,4,0,2,-1.0,15.0,0.0
2020-02-29,Autres,6,0,2,-1.0,9.0,-1.0
2020-02-29,"Corée du Sud",13,3,0,,9.0,-0.4
2020-02-29,France,2,0,0,,14.0,-1.0
2020-02-29,Hong-Kong,2,0,0,,25.0,
2020-02-29,Italie,21,8,4,1.0,8.0,0.67
2020-02-29,Japon,4,1,0,,16.0,0.0
2020-03-01,Autres,6,0,0,,10.0,-1.0
2020-03-01,"Corée du Sud",16,1,3,-0.67,10.0,-0.44
2020-03-01,France,2,0,0,,15.0,-1.0
2020-03-01,Hong-Kong,2,0,0,,26.0,
2020-03-01,Italie,29,5,8,-0.38,9.0,0.62
2020-03-01,Japon,5,1,1,0.0,17.0,0.0
2020-03-02,Autres,6,0,0,,11.0,-1.0
2020-03-02,"Corée du Sud",17,11,1,10.0,11.0,1.31
2020-03-02,France,2,1,0,,16.0,-1.0
2020-03-02,Hong-Kong,2,0,0,,27.0,
2020-03-02,Italie,34,18,5,2.6,10.0,0.56
2020-03-02,Japon,6,0,1,-1.0,18.0,-0.25
2020-03-03,Autres,6,0,0,,12.0,-1.0
2020-03-03,"Corée du Sud",28,0,11,-1.0,12.0,1.14
2020-03-03,France,3,1,1,0.0,17.0,-0.5
2020-03-03,Hong-Kong,2,0,0,,28.0,
2020-03-03,Italie,52,27,18,0.5,11.0,0.67
2020-03-03,Japon,6,0,0,,19.0,-0.25
2020-03-03,"États-Unis",6,1,5,-0.8,3.0,-0.9
2020-03-04,Autres,6,0,0,,13.0,-1.0
2020-03-04,"Corée du Sud",28,7,0,,13.0,1.37
2020-03-04,France,4,0,1,-1.0,18.0,-0.67
2020-03-04,Hong-Kong,2,0,0,,29.0,
2020-03-04,Italie,79,28,27,0.04,12.0,0.72
2020-03-04,Japon,6,0,0,,20.0,-0.25
2020-03-04,"États-Unis",7,4,1,3.0,4.0,0.4
2020-03-05,Australie,2,0,1,-1.0,4.0,-1.0
2020-03-05,Autres,6,0,0,,14.0,-1.0
2020-03-05,"Corée du Sud",35,0,7,-1.0,14.0,1.27
2020-03-05,Espagne,2,1,1,0.0,2.0,0.0
2020-03-05,France,4,2,0,,19.0,-0.5
2020-03-05,Hong-Kong,2,0,0,,30.0,
2020-03-05,Iraq,2,0,2,-1.0,1.0,-1.0
2020-03-05,Italie,107,41,28,0.46,13.0,0.58
2020-03-05,Japon,6,0,0,,21.0,-0.67
2020-03-05,"États-Unis",11,1,4,-0.75,5.0,0.11
2020-03-06,Australie,2,0,0,,5.0,-1.0
2020-03-06,Autres,6,0,0,,15.0,-1.0
2020-03-06,"Corée du Sud",35,7,0,,15.0,1.83
2020-03-06,Espagne,3,2,1,1.0,3.0,0.33
2020-03-06,France,6,3,2,0.5,20.0,-0.17
2020-03-06,Hong-Kong,2,0,0,,31.0,
2020-03-06,Iraq,2,1,0,,2.0,-1.0
2020-03-06,Italie,148,49,41,0.2,14.0,0.63
2020-03-06,Japon,6,0,0,,22.0,-0.5
2020-03-06,"États-Unis",12,2,1,1.0,6.0,0.29
2020-03-07,Australie,2,0,0,,6.0,-1.0
2020-03-07,Autres,6,0,0,,16.0,
2020-03-07,"Corée du Sud",42,2,7,-0.71,16.0,1.32
2020-03-07,Espagne,5,5,2,1.5,4.0,0.63
2020-03-07,France,9,2,3,-0.33,21.0,-0.21
2020-03-07,Hong-Kong,2,0,0,,32.0,
2020-03-07,Iraq,3,1,1,0.0,3.0,-0.5
2020-03-07,Italie,197,36,49,-0.27,15.0,0.45
2020-03-07,Japon,6,0,0,,23.0,-0.5
2020-03-07,Royaume-Uni,2,0,1,-1.0,2.0,-0.5
2020-03-07,"États-Unis",14,3,2,0.5,7.0,0.33
2020-03-08,Australie,2,2,0,,7.0,-1.0
2020-03-08,Autres,6,0,0,,17.0,
2020-03-08,"Corée du Sud",44,6,2,2.0,17.0,1.86
2020-03-08,Espagne,10,7,5,0.4,5.0,0.58
2020-03-08,France,11,8,2,3.0,22.0,0.43
2020-03-08,Hong-Kong,2,1,0,,33.0,
2020-03-08,Iraq,4,2,1,1.0,4.0,0.0
2020-03-08,Italie,233,133,36,2.69,16.0,0.89
2020-03-08,Japon,6,0,0,,24.0,-1.0
2020-03-08,Royaume-Uni,2,1,0,,3.0,-0.5
2020-03-08,"États-Unis",17,4,3,0.33,8.0,0.55
2020-03-09,Australie,4,0,2,-1.0,8.0,-1.0
2020-03-09,Autres,6,0,0,,18.0,
2020-03-09,"Corée du Sud",50,3,6,-0.5,18.0,-0.24
2020-03-09,Espagne,17,11,7,0.57,6.0,0.58
2020-03-09,France,19,6,8,-0.25,23.0,0.32
2020-03-09,Hong-Kong,3,0,1,-1.0,34.0,-1.0
2020-03-09,Iraq,6,0,2,-1.0,5.0,-0.25
2020-03-09,Italie,366,97,133,-0.27,17.0,0.48
2020-03-09,Japon,6,11,0,,25.0,
2020-03-09,Pays-Bas,3,0,2,-1.0,3.0,-1.0
2020-03-09,Royaume-Uni,3,1,1,0.0,4.0,-0.33
2020-03-09,Suisse,2,0,1,-1.0,4.0,-1.0
2020-03-09,"États-Unis",21,1,4,-0.75,9.0,0.36
2020-03-10,Allemagne,2,0,2,-1.0,1.0,-1.0
